id,category_id,en,pronunciation_si,meaning_si,level
how-can-i-track-my-missing,s-asking-questions,How can I track my missing bag?,හව් කැන් අයි ට්‍රැක් මයි මිසින් බෑග්?,නැතිවුණු බෑගය කොහේද කියලා බලන්නේ කොහොමද?,intermediate
will-i-receive-updates-by-email,s-technology,Will I receive updates by email?,විල් අයි රිසීව් අප්ඩේට්ස් බයි ඊමේල්?,අලුත් තොරතුරු මට ඊමේල් එකෙන් ලැබෙනවද?,intermediate
will-the-airline-reimburse-essential-purchases,s-asking-questions,Will the airline reimburse essential purchases?,විල් දි එයාර්ලයින් රීඉම්බර්ස් එසෙන්ෂල් පර්චසස්?,අවශ්‍ය බඩු ගන්න ගිය වියදම් ගුවන් සමාගම ආපහු ගෙවනවද?,intermediate
should-i-keep-all-my-receipts,s-everyday-conversations,Should I keep all my receipts?,ෂුඩ් අයි කීප් ඕල් මයි රිසීට්ස්?,මම හැම බිල්පතක්ම තියාගන්න ඕනද?,intermediate
my-suitcase-wheel-is-broken,s-problems-complaints,My suitcase wheel is broken.,මයි සූට්කේස් වීල් ඉස් බ්‍රෝකන්.,මගේ suitcase එකේ රෝදයක් කැඩිලා.,beginner
the-zipper-has-been-damaged,s-problems-complaints,The zipper has been damaged.,ද සිපර් හැස් බීන් ඩැමජ්ඩ්.,zipper එකට හානි වෙලා.,beginner
the-handle-has-come-off,s-everyday-conversations,The handle has come off.,ද හැන්ඩල් හැස් කම් ඔෆ්.,handle එක ගැලවිලා.,beginner
id-like-to-report-the-damage,s-work-office,I'd like to report the damage before leaving.,අයිඩ් ලයික් ටු රිපෝට් ද ඩැමජ් බිෆෝර් ලීවින්.,යන්න කලින් මේ හානිය වාර්තා කරන්න ඕන.,intermediate
which-exit-leads-to-public-transportation,s-everyday-conversations,Which exit leads to public transportation?,විච් එක්සිට් ලීඩ්ස් ටු පබ්ලික් ට්‍රාන්ස්පෝර්ටේෂන්?,පොදු ප්‍රවාහනයට යන්නේ මොන exit එකෙන්ද?,intermediate
where-can-i-find-the-airport,s-airport,Where can I find the airport train?,වෙයාර් කැන් අයි ෆයින්ඩ් දි එයාර්පෝට් ට්‍රේන්?,airport train එක තියෙන්නේ කොහෙද?,intermediate
does-the-airport-train-run-all,s-airport,Does the airport train run all night?,ඩස් දි එයාර්පෝට් ට්‍රේන් රන් ඕල් නයිට්?,airport train එක මුළු රෑම යනවද?,intermediate
whats-the-last-train-into-the,s-transportation,What's the last train into the city?,වට්ස් ද ලාස්ට් ට්‍රේන් ඉන්ටු ද සිටි?,නගරයට යන අන්තිම train එක කීයටද?,intermediate
can-i-buy-the-train-ticket,s-transportation,Can I buy the train ticket with a card?,කැන් අයි බයි ද ට්‍රේන් ටිකට් විත් අ කාඩ්?,train ticket එක card එකෙන් ගන්න පුළුවන්ද?,intermediate
is-contactless-payment-accepted,s-asking-questions,Is contactless payment accepted?,ඉස් කන්ටැක්ට්ලස් පේමන්ට් ඇක්සෙප්ටඩ්?,card එක tap කරලා ගෙවන්න පුළුවන්ද?,beginner
do-i-need-to-validate-this,s-transportation,Do I need to validate this ticket?,ඩූ අයි නීඩ් ටු වැලිඩේට් දිස් ටිකට්?,මේ ticket එක ගමනට කලින් සලකුණු කරගන්න ඕනද?,intermediate
where-do-i-validate-it,s-asking-questions,Where do I validate it?,වෙයාර් ඩූ අයි වැලිඩේට් ඉට්?,ඒක validate කරන්නේ කොහෙද?,beginner
is-this-ticket-valid-all-day,s-transportation,Is this ticket valid all day?,ඉස් දිස් ටිකට් වැලිඩ් ඕල් ඩේ?,මේ ticket එක දවස පුරාම වලංගුද?,intermediate
does-this-ticket-cover-buses-too,s-transportation,Does this ticket cover buses too?,ඩස් දිස් ටිකට් කවර් බසස් ටූ?,මේ ticket එක bus වලටත් වලංගුද?,intermediate
id-like-a-day-pass,s-everyday-conversations,I'd like a day pass.,අයිඩ් ලයික් අ ඩේ පාස්.,මට දවස පුරා පාවිච්චි කරන්න පුළුවන් ගමන් බලපත්‍රයක් ඕන.,beginner
is-there-a-three-day-travel,s-travel,Is there a three-day travel pass?,ඉස් දෙයාර් අ ත්‍රී-ඩේ ට්‍රැවල් පාස්?,දවස් තුනකට ගමන් කරන්න පුළුවන් pass එකක් තියෙනවද?,intermediate
which-pass-is-best-for-tourists,s-everyday-conversations,Which pass is best for tourists?,විච් පාස් ඉස් බෙස්ට් ෆෝ ටුවරිස්ට්ස්?,සංචාරකයන්ට වඩා හොඳ ගමන් pass එක මොකක්ද?,intermediate
does-the-pass-include-airport-transport,s-airport,Does the pass include airport transport?,ඩස් ද පාස් ඉන්ක්ලූඩ් එයාර්පෝට් ට්‍රාන්ස්පෝර්ට්?,ඒ pass එකෙන් airport ගමනත් යන්න පුළුවන්ද?,intermediate
can-two-people-share-one-card,s-banking-money,Can two people share one card?,කැන් ටූ පීපල් ෂෙයාර් වන් කාඩ්?,දෙන්නෙකුට එක card එකක් පාවිච්චි කරන්න පුළුවන්ද?,intermediate
do-i-need-one-card-per,s-banking-money,Do I need one card per person?,ඩූ අයි නීඩ් වන් කාඩ් පර් පර්සන්?,එක් එක් කෙනාට වෙනම card එකක් ඕනද?,intermediate
where-can-i-check-the-remaining,s-asking-questions,Where can I check the remaining balance?,වෙයාර් කැන් අයි චෙක් ද රිමේනින් බැලන්ස්?,card එකේ ඉතුරු මුදල බලන්නේ කොහෙද?,intermediate
the-machine-charged-me-twice,s-everyday-conversations,The machine charged me twice.,ද මෂීන් චාර්ජ්ඩ් මී ට්වයිස්.,යන්ත්‍රය මගෙන් දෙවරක් ගාස්තුව අරගෙන.,beginner
can-i-get-a-refund-for,s-asking-questions,Can I get a refund for the extra charge?,කැන් අයි ගෙට් අ රීෆන්ඩ් ෆෝ දි එක්ස්ට්‍රා චාර්ජ්?,වැඩිපුර අරගත්ත මුදල ආපහු ගන්න පුළුවන්ද?,intermediate
my-travel-card-stopped-working,s-travel,My travel card stopped working.,මයි ට්‍රැවල් කාඩ් ස්ටොප්ට් වර්කින්.,මගේ ගමන් card එක වැඩ කරන්නේ නැහැ.,beginner
could-you-check-whether-it-still,s-making-requests,Could you check whether it still has credit?,කුඩ් යූ චෙක් වෙදර් ඉට් ස්ටිල් හැස් ක්‍රෙඩිට්?,ඒකේ තාම මුදල් තියෙනවද බලන්න පුළුවන්ද?,intermediate
i-think-i-tapped-the-wrong,s-problems-complaints,I think I tapped the wrong reader.,අයි තින්ක් අයි ටැප්ට් ද රොන් රීඩර්.,මම වැරදි යන්ත්‍රයට card එක tap කළා වගේ.,intermediate
the-gate-wont-open-for-me,s-airport,The gate won't open for me.,ද ගේට් වෝන්ට් ඕපන් ෆෝ මී.,මට gate එක ඇරෙන්නේ නැහැ.,intermediate
could-a-staff-member-help-me,s-asking-for-help,Could a staff member help me?,කුඩ් අ ස්ටාෆ් මෙම්බර් හෙල්ප් මී?,සේවකයෙක් මට උදව් කරන්න පුළුවන්ද?,intermediate
i-accidentally-went-through-the-wrong,s-problems-complaints,I accidentally went through the wrong gate.,අයි ඇක්සිඩෙන්ටලි වෙන්ට් ත්‍රූ ද රොන් ගේට්.,වැරදීමකින් මම වැරදි gate එකෙන් ගියා.,intermediate
how-do-i-get-back-to,s-transportation,How do I get back to the other platform?,හව් ඩූ අයි ගෙට් බැක් ටු දි අදර් ප්ලැට්ෆෝම්?,අනිත් platform එකට ආපහු යන්නේ කොහොමද?,intermediate
is-there-an-underground-passage,s-asking-questions,Is there an underground passage?,ඉස් දෙයාර් ඇන් අන්ඩර්ග්‍රවුන්ඩ් පැසෙජ්?,යටින් යන මාර්ගයක් තියෙනවද?,beginner
is-there-a-footbridge-over-the,s-asking-questions,Is there a footbridge over the tracks?,ඉස් දෙයාර් අ ෆුට්බ්‍රිජ් ඕවර් ද ට්‍රැක්ස්?,රේල් පාර උඩින් යන පාලමක් තියෙනවද?,intermediate
which-carriage-is-closest-to-the,s-everyday-conversations,Which carriage is closest to the exit?,විච් කැරිජ් ඉස් ක්ලෝසස්ට් ටු දි එක්සිට්?,exit එකට ළඟම train compartment එක මොකක්ද?,intermediate
should-we-sit-near-the-front,s-transportation,Should we sit near the front of the train?,ෂුඩ් වී සිට් නියර් ද ෆ්‍රන්ට් ඔෆ් ද ට්‍රේන්?,train එකේ ඉස්සරහ පැත්තේ ඉඳගමුද?,intermediate
is-this-train-reservation-only,s-hotel,Is this train reservation-only?,ඉස් දිස් ට්‍රේන් රෙසර්වේෂන්-ඕන්ලි?,මේ train එකේ යන්න කලින් seat එක වෙන්කරලා තියෙන්න ඕනද?,beginner
can-i-stand-if-there-are,s-asking-questions,Can I stand if there are no seats?,කැන් අයි ස්ටෑන්ඩ් ඉෆ් දෙයාර් ආර් නෝ සීට්ස්?,seat නැත්නම් හිටගෙන යන්න පුළුවන්ද?,intermediate
is-first-class-much-more-expensive,s-school-education,Is first class much more expensive?,ඉස් ෆර්ස්ට් ක්ලාස් මච් මෝර් එක්ස්පෙන්සිව්?,පළමු පන්තිය ගොඩක් ගණන්ද?,intermediate
whats-included-in-first-class,s-school-education,What's included in first class?,වට්ස් ඉන්ක්ලූඩඩ් ඉන් ෆර්ස්ට් ක්ලාස්?,පළමු පන්තියට ඇතුළත් පහසුකම් මොනවද?,beginner
does-this-train-have-a-dining,s-transportation,Does this train have a dining car?,ඩස් දිස් ට්‍රේන් හැව් අ ඩයිනින් කාර්?,මේ train එකේ කෑම ගන්න compartment එකක් තියෙනවද?,intermediate
is-there-a-caf-on-board,s-asking-questions,Is there a café on board?,ඉස් දෙයාර් අ කැෆේ ඔන් බෝඩ්?,train එකේ කෑම බීම ගන්න තැනක් තියෙනවද?,intermediate
can-i-bring-my-own-food,s-restaurants-food,Can I bring my own food?,කැන් අයි බ්‍රින්ග් මයි ඕන් ෆුඩ්?,මගේම කෑම ගෙනියන්න පුළුවන්ද?,intermediate
is-there-a-place-for-large,s-asking-questions,Is there a place for large suitcases?,ඉස් දෙයාර් අ ප්ලේස් ෆෝ ලාර්ජ් සූට්කේසස්?,ලොකු suitcase තියන්න තැනක් තියෙනවද?,intermediate
should-i-keep-my-luggage-with,s-airport,Should I keep my luggage with me?,ෂුඩ් අයි කීප් මයි ලගේජ් විත් මී?,luggage එක මගේ ළඟම තියාගන්නද?,intermediate
is-luggage-theft-common-on-this,s-airport,Is luggage theft common on this route?,ඉස් ලගේජ් තෙෆ්ට් කොමන් ඔන් දිස් රූට්?,මේ පාරේ luggage හොරකම් වෙන එක සාමාන්‍යද?,intermediate
can-i-lock-my-suitcase-to,s-asking-questions,Can I lock my suitcase to the rack?,කැන් අයි ලොක් මයි සූට්කේස් ටු ද රැක්?,suitcase එක rack එකට lock කරන්න පුළුවන්ද?,intermediate
does-this-train-have-sleeping-compartments,s-transportation,Does this train have sleeping compartments?,ඩස් දිස් ට්‍රේන් හැව් ස්ලීපින් කම්පාර්ට්මන්ට්ස්?,මේ train එකේ නිදාගන්න කාමර වගේ කොටස් තියෙනවද?,intermediate
id-like-a-lower-berth,s-everyday-conversations,I'd like a lower berth.,අයිඩ් ලයික් අ ලෝවර් බර්ත්.,මට පහළ නිදන තැනක් ඕන.,beginner
is-bedding-provided,s-asking-questions,Is bedding provided?,ඉස් බෙඩින් ප්‍රොවයිඩඩ්?,නිදාගන්න ඇඳ ඇතිරිලි දෙනවද?,beginner
can-i-lock-the-compartment-from,s-asking-questions,Can I lock the compartment from inside?,කැන් අයි ලොක් ද කම්පාර්ට්මන්ට් ෆ්‍රම් ඉන්සයිඩ්?,compartment එක ඇතුළෙන් lock කරන්න පුළුවන්ද?,intermediate
what-time-will-we-cross-the,s-asking-questions,What time will we cross the border?,වට් ටයිම් විල් වී ක්‍රොස් ද බෝඩර්?,අපි border එක පහු කරන්නේ කීයටද?,intermediate
will-immigration-officers-board-the-train,s-airport,Will immigration officers board the train?,විල් ඉමිග්‍රේෂන් ඔෆිසර්ස් බෝඩ් ද ට්‍රේන්?,immigration නිලධාරීන් train එකට එනවද?,intermediate
do-we-need-to-leave-the,s-airport,Do we need to leave the train for passport control?,ඩූ වී නීඩ් ටු ලීව් ද ට්‍රේන් ෆෝ පාස්පෝට් කන්ට්‍රෝල්?,පාස්පෝට් පරීක්ෂාවට train එකෙන් බහින්න ඕනද?,intermediate
how-long-will-we-stop-at,s-transportation,How long will we stop at the border?,හව් ලෝන් විල් වී ස්ටොප් ඇට් ද බෝඩර්?,border එකේ කොච්චර වෙලා නවතිනවද?,intermediate
please-wake-me-before-we-reach,s-transportation,Please wake me before we reach my stop.,ප්ලීස් වේක් මී බිෆෝර් වී රීච් මයි ස්ටොප්.,මම බහින්න ඕන තැනට කලින් මාව ඇහැරවන්න.,intermediate
is-there-a-luggage-storage-room,s-airport,Is there a luggage storage room at the station?,ඉස් දෙයාර් අ ලගේජ් ස්ටෝරේජ් රූම් ඇට් ද ස්ටේෂන්?,station එකේ බෑග් තියලා යන්න තැනක් තියෙනවද?,intermediate
how-much-does-luggage-storage-cost,s-airport,How much does luggage storage cost?,හව් මච් ඩස් ලගේජ් ස්ටෝරේජ් කොස්ට්?,luggage තියලා යන්න ගාස්තුව කීයද?,intermediate
can-i-leave-my-suitcase-here,s-asking-questions,Can I leave my suitcase here all day?,කැන් අයි ලීව් මයි සූට්කේස් හියර් ඕල් ඩේ?,suitcase එක දවසම මෙතන තියලා යන්න පුළුවන්ද?,intermediate
what-time-does-the-luggage-office,s-airport,What time does the luggage office close?,වට් ටයිම් ඩස් ද ලගේජ් ඔෆිස් ක්ලෝස්?,luggage office එක වහන්නේ කීයටද?,intermediate
do-i-need-my-passport-to,s-airport,Do I need my passport to collect the bag?,ඩූ අයි නීඩ් මයි පාස්පෝට් ටු කලෙක්ට් ද බෑග්?,bag එක ආපහු ගන්න passport එක ඕනද?,intermediate
could-you-keep-this-receipt-safe,s-banking-money,Could you keep this receipt safe?,කුඩ් යූ කීප් දිස් රිසීට් සේෆ්?,මේ receipt එක පරිස්සමින් තියාගන්න පුළුවන්ද?,intermediate
we-need-to-collect-our-bags,s-everyday-conversations,We need to collect our bags before closing time.,වී නීඩ් ටු කලෙක්ට් අවර් බෑග්ස් බිෆෝර් ක්ලෝසින් ටයිම්.,තැන වහන්න කලින් bags ගන්න ඕන.,intermediate
is-there-a-taxi-rank-outside,s-transportation,Is there a taxi rank outside the station?,ඉස් දෙයාර් අ ටැක්සි රෑන්ක් අවුට්සයිඩ් ද ස්ටේෂන්?,station එක එළියේ taxi stand එකක් තියෙනවද?,intermediate
are-taxis-metered-here,s-asking-questions,Are taxis metered here?,ආර් ටැක්සිස් මීටර්ඩ් හියර්?,මෙහෙ taxis meter එකෙන්ද යන්නේ?,beginner
should-i-agree-on-the-fare,s-transportation,Should I agree on the fare beforehand?,ෂුඩ් අයි අග්‍රී ඔන් ද ෆෙයාර් බිෆෝර්හෑන්ඩ්?,යන්න කලින් ගාණ කතා කරගන්නද?,intermediate
could-you-take-me-to-the,s-making-requests,Could you take me to the old town?,කුඩ් යූ ටේක් මී ටු දි ඕල්ඩ් ටවුන්?,මාව පැරණි නගර ප්‍රදේශයට ගෙනියන්න පුළුවන්ද?,intermediate
id-like-to-avoid-rush-hour,s-transportation,I'd like to avoid rush-hour traffic.,අයිඩ් ලයික් ටු අවොයිඩ් රෂ්-අවර් ට්‍රැෆික්.,traffic වැඩිම වෙලාව මඟහරින්න මට ඕන.,intermediate
is-there-a-scenic-route,s-transportation,Is there a scenic route?,ඉස් දෙයාර් අ සීනික් රූට්?,ලස්සන දර්ශන තියෙන පාරක් තියෙනවද?,beginner
i-dont-mind-if-it-takes,s-everyday-conversations,I don't mind if it takes a little longer.,අයි ඩෝන්ට් මයින්ඩ් ඉෆ් ඉට් ටේක්ස් අ ලිට්ල් ලෝන්ගර්.,ටිකක් වැඩි වෙලා ගියත් මට අවුලක් නැහැ.,intermediate
could-we-stop-for-a-photo,s-transportation,Could we stop for a photo on the way?,කුඩ් වී ස්ටොප් ෆෝ අ ෆොටෝ ඔන් ද වේ?,අතරමග පින්තූරයක් ගන්න නවත්තන්න පුළුවන්ද?,intermediate
is-there-a-good-viewpoint-along,s-asking-questions,Is there a good viewpoint along the road?,ඉස් දෙයාර් අ ගුඩ් වීව්පොයින්ට් අලෝන් ද රෝඩ්?,පාරේ හොඳ view එකක් තියෙන තැනක් තියෙනවද?,intermediate
can-we-stop-for-coffee-somewhere,s-transportation,Can we stop for coffee somewhere?,කැන් වී ස්ටොප් ෆෝ කොෆී සම්වෙයාර්?,අතරමග කොහෙ හරි කෝපි බොන්න නවත්තමුද?,intermediate
i-need-to-use-a-restroom,s-everyday-conversations,I need to use a restroom.,අයි නීඩ් ටු යූස් අ රෙස්ට්රූම්.,මට වැසිකිළියකට යන්න ඕන.,intermediate
is-there-a-rest-stop-ahead,s-transportation,Is there a rest stop ahead?,ඉස් දෙයාර් අ රෙස්ට් ස්ටොප් අහෙඩ්?,ඉස්සරහ නැවතිලා විවේක ගන්න තැනක් තියෙනවද?,intermediate
could-we-stop-at-the-next,s-transportation,Could we stop at the next service area?,කුඩ් වී ස්ටොප් ඇට් ද නෙක්ස්ට් සර්විස් ඒරියා?,ඊළඟ විවේක ස්ථානයේ නවත්තන්න පුළුවන්ද?,intermediate
i-get-carsick-on-winding-roads,s-everyday-conversations,I get carsick on winding roads.,අයි ගෙට් කාර්සික් ඔන් වයින්ඩින් රෝඩ්ස්.,වංගු පාරවල්වල යද්දි මට වමනය එන වගේ වෙනවා.,intermediate
could-you-drive-smoothly-please,s-making-requests,"Could you drive smoothly, please?","කුඩ් යූ ඩ්‍රයිව් ස්මූත්ලි, ප්ලීස්?",ටිකක් මෘදුව drive කරන්න පුළුවන්ද?,beginner
please-avoid-sudden-braking,s-making-requests,Please avoid sudden braking.,ප්ලීස් අවොයිඩ් සඩන් බ්‍රේකින්.,එකපාරට brake කරන්න එපා.,beginner
could-you-turn-the-music-down,s-making-requests,Could you turn the music down?,කුඩ් යූ ටර්න් ද මියුසික් ඩවුන්?,music එක ටිකක් අඩු කරන්න පුළුවන්ද?,intermediate
could-you-turn-the-air-conditioning,s-making-requests,Could you turn the air conditioning up a little?,කුඩ් යූ ටර්න් දි එයාර් කන්ඩිෂනින් අප් අ ලිට්ල්?,AC එක ටිකක් වැඩි කරන්න පුළුවන්ද?,intermediate
could-you-open-the-window-slightly,s-home,Could you open the window slightly?,කුඩ් යූ ඕපන් ද වින්ඩෝ ස්ලයිට්ලි?,ජනේලය ටිකක් අරින්න පුළුවන්ද?,intermediate
im-fine-with-the-temperature-now,s-everyday-conversations,I'm fine with the temperature now.,අයිම් ෆයින් විත් ද ටෙම්පරචර් නව්.,දැන් උෂ්ණත්වය හොඳයි.,intermediate
how-much-further-do-we-have,s-asking-questions,How much further do we have to go?,හව් මච් ෆර්දර් ඩූ වී හැව් ටු ගෝ?,තව කොච්චර දුර යන්න තියෙනවද?,intermediate
are-we-close-to-the-hotel,s-hotel,Are we close to the hotel?,ආර් වී ක්ලෝස් ටු ද හෝටෙල්?,අපි hotel එකට ළඟද?,intermediate
could-you-tell-me-when-were,s-meetings,Could you tell me when we're five minutes away?,කුඩ් යූ ටෙල් මී වෙන් වීර් ෆයිව් මිනිට්ස් අවේ?,තව විනාඩි පහක් වගේ තියෙද්දි මට කියන්න පුළුවන්ද?,intermediate
i-need-to-call-the-hotel,s-hotel,I need to call the hotel before we arrive.,අයි නීඩ් ටු කෝල් ද හෝටෙල් බිෆෝර් වී අරයිව්.,අපි යන්න කලින් hotel එකට call කරන්න ඕන.,intermediate
the-entrance-should-be-around-the,s-everyday-conversations,The entrance should be around the back.,දි එන්ට්‍රන්ස් ෂුඩ් බී අරවුන්ඩ් ද බැක්.,entrance එක පිටිපස්ස පැත්තේ වගේ.,intermediate
could-you-drop-me-at-the,s-making-requests,Could you drop me at the side entrance?,කුඩ් යූ ඩ්‍රොප් මී ඇට් ද සයිඩ් එන්ට්‍රන්ස්?,පැත්තේ entrance එක ළඟ මාව බස්සන්න පුළුවන්ද?,intermediate
ill-get-out-here-to-avoid,s-transportation,I'll get out here to avoid the traffic.,අයිල් ගෙට් අවුට් හියර් ටු අවොයිඩ් ද ට්‍රැෆික්.,traffic මඟහරින්න මම මෙතනින් බහින්නම්.,intermediate
how-much-do-i-owe-you,s-asking-questions,How much do I owe you?,හව් මච් ඩූ අයි ඕ යූ?,මම ඔයාට කීයක් ගෙවන්න ඕනද?,intermediate
does-the-fare-include-luggage,s-airport,Does the fare include luggage?,ඩස් ද ෆෙයාර් ඉන්ක්ලූඩ් ලගේජ්?,ගාස්තුවට luggage එකත් ඇතුළත්ද?,beginner
is-there-an-airport-surcharge,s-airport,Is there an airport surcharge?,ඉස් දෙයාර් ඇන් එයාර්පෝට් සර්චාර්ජ්?,airport එක නිසා අමතර ගාස්තුවක් තියෙනවද?,beginner
could-you-show-me-the-fare,s-transportation,Could you show me the fare on the meter?,කුඩ් යූ ෂෝ මී ද ෆෙයාර් ඔන් ද මීටර්?,meter එකේ ගාණ මට පෙන්නන්න පුළුවන්ද?,intermediate
i-think-the-meter-is-running,s-everyday-conversations,I think the meter is running too fast.,අයි තින්ක් ද මීටර් ඉස් රනින් ටූ ෆාස්ට්.,meter එක අසාමාන්‍ය විදිහට ඉක්මනින් ගාණ වැඩි කරනවා වගේ.,intermediate
could-you-explain-the-extra-charge,s-making-requests,Could you explain the extra charge?,කුඩ් යූ එක්ස්ප්ලේන් දි එක්ස්ට්‍රා චාර්ජ්?,මේ අමතර ගාස්තුව මොකටද කියලා කියන්න පුළුවන්ද?,intermediate
i-only-have-a-large-bill,s-banking-money,I only have a large bill.,අයි ඕන්ලි හැව් අ ලාර්ජ් බිල්.,මගේ ළඟ තියෙන්නේ ලොකු නෝට්ටුවක් විතරයි.,intermediate
can-you-give-me-the-correct,s-banking-money,Can you give me the correct change?,කැන් යූ ගිව් මී ද කරෙක්ට් චේන්ජ්?,හරි ඉතුරු මුදල දෙන්න පුළුවන්ද?,intermediate
id-like-a-printed-receipt,s-banking-money,I'd like a printed receipt.,අයිඩ් ලයික් අ ප්‍රින්ටඩ් රිසීට්.,මට මුද්‍රිත බිල්පතක් ඕන.,beginner
could-you-write-your-vehicle-number,s-making-requests,Could you write your vehicle number on it?,කුඩ් යූ රයිට් යුවර් වීහිකල් නම්බර් ඔන් ඉට්?,ඒකේ වාහන අංකය ලියන්න පුළුවන්ද?,intermediate
i-may-need-the-receipt-for,s-banking-money,I may need the receipt for expenses.,අයි මේ නීඩ් ද රිසීට් ෆෝ එක්ස්පෙන්සස්.,වියදම් පෙන්වන්න මේ receipt එක ඕන වෙන්න පුළුවන්.,intermediate
can-i-book-the-return-ride,s-asking-questions,Can I book the return ride with you?,කැන් අයි බුක් ද රිටර්න් රයිඩ් විත් යූ?,ආපහු යන ගමනත් ඔයා එක්ක වෙන්කරගන්න පුළුවන්ද?,intermediate
ill-need-pickup-at-five-tomorrow,s-making-plans,I'll need pickup at five tomorrow morning.,අයිල් නීඩ් පික්අප් ඇට් ෆයිව් ටුමොරෝ මෝනින්.,හෙට උදේ පහට මාව ගන්න එන්න ඕන.,intermediate
could-you-send-me-a-confirmation,s-phone-conversations,Could you send me a confirmation message?,කුඩ් යූ සෙන්ඩ් මී අ කන්ෆමේෂන් මෙසේජ්?,තහවුරු කරන පණිවිඩයක් එවන්න පුළුවන්ද?,intermediate
please-dont-be-late-tomorrow,s-making-plans,Please don't be late tomorrow.,ප්ලීස් ඩෝන්ට් බී ලේට් ටුමොරෝ.,හෙට පරක්කු වෙන්න එපා.,beginner
ill-be-waiting-in-the-hotel,s-hotel,I'll be waiting in the hotel lobby.,අයිල් බී වේටින් ඉන් ද හෝටෙල් ලොබි.,මම hotel එකේ lobby එකේ බලන් ඉන්නම්.,intermediate
i-have-a-booking-for-three,s-hotel,I have a booking for three nights.,අයි හැව් අ බුකින් ෆෝ ත්‍රී නයිට්ස්.,මට රෑ තුනකට වෙන්කිරීමක් තියෙනවා.,intermediate
could-you-verify-the-room-type,s-home,Could you verify the room type?,කුඩ් යූ වෙරිෆයි ද රූම් ටයිප්?,මම වෙන් කරපු කාමර වර්ගය තහවුරු කරන්න පුළුවන්ද?,intermediate
i-booked-a-room-with-breakfast,s-restaurants-food,I booked a room with breakfast included.,අයි බුක්ට් අ රූම් විත් බ්‍රෙක්ෆස්ට් ඉන්ක්ලූඩඩ්.,උදේ කෑමත් ඇතුළත් කාමරයක් මම වෙන් කළා.,intermediate
my-confirmation-says-the-room-has,s-home,My confirmation says the room has a balcony.,මයි කන්ෆමේෂන් සෙස් ද රූම් හැස් අ බැල්කනි.,මගේ තහවුරු ලිපියේ balcony එකක් තියෙනවා කියලා තියෙනවා.,intermediate
could-you-check-whether-thats-correct,s-making-requests,Could you check whether that's correct?,කුඩ් යූ චෙක් වෙදර් දැට්ස් කරෙක්ට්?,ඒක හරිද බලන්න පුළුවන්ද?,intermediate
i-requested-a-quiet-room,s-home,I requested a quiet room.,අයි රික්වෙස්ටඩ් අ ක්වයිට් රූම්.,මම සද්දෙ අඩු කාමරයක් ඉල්ලලා තිබුණා.,beginner
is-there-a-room-away-from,s-home,Is there a room away from the elevator?,ඉස් දෙයාර් අ රූම් අවේ ෆ්‍රම් දි එලිවේටර්?,lift එකෙන් ඈත කාමරයක් තියෙනවද?,intermediate
im-a-light-sleeper,s-everyday-conversations,I'm a light sleeper.,අයිම් අ ලයිට් ස්ලීපර්.,පොඩි සද්දෙකටත් මට ඇහැරෙනවා.,beginner
is-there-construction-noise-nearby,s-giving-directions,Is there construction noise nearby?,ඉස් දෙයාර් කන්ස්ට්‍රක්ෂන් නොයිස් නියර්බයි?,ළඟ ගොඩනැගිලි වැඩවල සද්දෙ තියෙනවද?,beginner
does-the-room-face-the-main,s-home,Does the room face the main road?,ඩස් ද රූම් ෆේස් ද මේන් රෝඩ්?,කාමරය ප්‍රධාන පාර පැත්තටද තියෙන්නේ?,intermediate
could-i-see-the-room-before,s-home,Could I see the room before checking in?,කුඩ් අයි සී ද රූම් බිෆෝර් චෙකින් ඉන්?,check in වෙන්න කලින් කාමරය බලන්න පුළුවන්ද?,intermediate
is-there-a-better-room-available,s-home,Is there a better room available?,ඉස් දෙයාර් අ බෙටර් රූම් අවේලබල්?,මීට හොඳ කාමරයක් තියෙනවද?,intermediate
how-much-is-the-upgrade-per,s-asking-questions,How much is the upgrade per night?,හව් මච් ඉස් දි අප්ග්‍රේඩ් පර් නයිට්?,රෑකට වඩා හොඳ කාමරයකට මාරු වෙන්න කීයක් වැඩිපුර ගෙවන්න ඕනද?,intermediate
could-you-upgrade-me-if-something,s-making-requests,Could you upgrade me if something becomes available?,කුඩ් යූ අප්ග්‍රේඩ් මී ඉෆ් සම්තින් බිකම්ස් අවේලබල්?,හොඳ කාමරයක් හිස් වුණොත් මාව ඒකට මාරු කරන්න පුළුවන්ද?,intermediate
is-the-deposit-refundable,s-asking-questions,Is the deposit refundable?,ඉස් ද ඩිපොසිට් රීෆන්ඩබල්?,තැන්පතු මුදල ආපහු ලැබෙනවද?,beginner
when-will-the-deposit-be-returned,s-asking-questions,When will the deposit be returned?,වෙන් විල් ද ඩිපොසිට් බී රිටර්න්ඩ්?,තැන්පතු මුදල ආපහු ලැබෙන්නේ කවදාද?,intermediate
do-you-need-my-physical-card,s-banking-money,Do you need my physical card for the deposit?,ඩූ යූ නීඩ් මයි ෆිසිකල් කාඩ් ෆෝ ද ඩිපොසිට්?,තැන්පතුවට මගේ card එකම ඕනද?,intermediate
can-i-pay-the-deposit-in,s-banking-money,Can I pay the deposit in cash?,කැන් අයි පේ ද ඩිපොසිට් ඉන් කැෂ්?,තැන්පතුව cash වලින් ගෙවන්න පුළුවන්ද?,intermediate
